Start time,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday,Start time short
0.16055555555555556,371.5,1,2.51666666666668,2,0,00:09:38
23.1875,451.05,1,2.933333333333337,2,0,23:11:15
23.055,450.8333333333333,3,24.883333333333326,3,0,23:03:18
23.355555555555558,438.71666666666664,0,0.0,4,0,23:21:20
23.37027777777778,442.56666666666666,4,10.483333333333327,5,1,23:22:13
13.42861111111111,103.68333333333334,0,0.0,6,1,13:25:43
22.723333333333333,462.81666666666666,0,0.0,6,1,22:43:24
22.373055555555556,512.4166666666667,1,3.0,0,0,22:22:23
22.9325,481.03333333333336,3,53.83333333333334,1,0,22:55:57
23.933333333333334,414.8333333333333,1,2.9833333333333485,2,0,23:56:00
22.470277777777778,515.3833333333333,1,2.8500000000000227,3,0,22:28:13
23.195555555555554,497.51666666666665,1,2.26666666666668,4,0,23:11:44
23.346944444444443,449.91666666666663,3,8.199999999999996,5,1,23:20:49
7.7877777777777775,2.466666666666667,0,0.0,6,1,07:47:16
16.019444444444442,63.75,0,0.0,6,1,16:01:10
17.610000000000003,2.5833333333333335,0,0.0,6,1,17:36:36
23.37638888888889,433.0666666666667,1,3.083333333333343,6,1,23:22:35
0.21305555555555555,423.68333333333334,1,2.26666666666668,1,0,00:12:47
22.74416666666667,488.98333333333335,1,3.1499999999999773,1,0,22:44:39
13.502777777777778,57.85,0,0.0,2,0,13:30:10
21.741944444444446,531.6,3,7.066666666666663,2,0,21:44:31
22.990000000000002,488.41666666666663,1,1.8166666666666629,3,0,22:59:24
23.196666666666665,474.3333333333333,0,0.0,4,0,23:11:48
22.581944444444446,481.53333333333336,1,3.1166666666666742,5,1,22:34:55
14.030555555555557,1.2333333333333334,0,0.0,6,1,14:01:50
14.556944444444445,21.766666666666666,0,0.0,6,1,14:33:25
23.95777777777778,412.0333333333333,1,3.1500000000000057,6,1,23:57:28
6.965277777777778,10.616666666666667,0,0.0,0,0,06:57:55
23.984444444444446,421.5666666666667,1,1.9833333333333343,0,0,23:59:04
23.506666666666668,428.8,0,0.0,1,0,23:30:24
23.83,430.9166666666667,2,4.783333333333331,2,0,23:49:48
0.18166666666666664,422.66666666666663,1,3.4000000000000057,4,0,00:10:54
0.15888888888888889,391.85,1,1.5500000000000114,5,1,00:09:32
22.179722222222225,407.0,1,2.8666666666666742,5,1,22:10:47
23.664166666666667,420.51666666666665,1,3.96666666666664,1,0,23:39:51
23.693055555555556,441.68333333333334,1,2.8833333333333258,2,0,23:41:35
23.83861111111111,393.81666666666666,1,1.9499999999999886,3,0,23:50:19
