Start time,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday
4.831618884723712370e-01,7.732374747447845476e-02,0.000000000000000000e+00,-1.967939494711529458e-01,-6.913084606523557385e-01,-7.801894976054941644e-01
3.951789142433675961e-01,5.320507247552099805e-01,0.000000000000000000e+00,-1.520900193972792858e-01,-6.913084606523557385e-01,-7.801894976054941644e-01
4.303573540650228457e-01,5.308122058562678713e-01,1.973508764131860493e+00,2.202913016894438414e+00,-1.994159021112564267e-01,-7.801894976054941644e-01
3.505605576561528491e-01,4.615504182000572109e-01,-9.867543820659302467e-01,-4.668056871173574818e-01,2.924766564298429405e-01,-7.801894976054941644e-01
3.466518421204133893e-01,4.835579463274092271e-01,2.960263146197790629e+00,6.579451935413289654e-01,7.843692149709422523e-01,1.281739888923311588e+00
-2.323812111636687661e+00,-1.453580882302197175e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,1.276261773512041620e+00,1.281739888923311588e+00
-1.258124041896355703e-02,5.993118280362064176e-01,-9.867543820659302467e-01,-4.668056871173574818e-01,1.276261773512041620e+00,1.281739888923311588e+00
8.041668959174357034e-02,8.828373852093592822e-01,0.000000000000000000e+00,-1.449373905854597355e-01,-1.675093577734554584e+00,-7.801894976054941644e-01
-6.811450076635647277e-02,7.034426862318569063e-01,1.973508764131860493e+00,5.308942078427252298e+00,-1.183201019193455217e+00,-7.801894976054941644e-01
1.971619102158112535e-01,3.250275272628507794e-01,0.000000000000000000e+00,-1.467255477884130965e-01,-6.913084606523557385e-01,-7.801894976054941644e-01
5.460441718591683979e-02,8.997955670564089514e-01,0.000000000000000000e+00,-1.610308054120521692e-01,-1.994159021112564267e-01,-7.801894976054941644e-01
3.930401831011705038e-01,7.976653932359721866e-01,0.000000000000000000e+00,-2.236163075154777580e-01,2.924766564298429405e-01,-7.801894976054941644e-01
3.528467874978117313e-01,5.255723182068980925e-01,1.973508764131860493e+00,4.129676567364958806e-01,7.843692149709422523e-01,1.281739888923311588e+00
2.508171533384342400e+00,-2.032159749477115085e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,1.276261773512041620e+00,1.281739888923311588e+00
-1.418686342388940869e+00,-1.681849442445635834e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,1.276261773512041620e+00,1.281739888923311588e+00
-1.309979800885544998e+00,-2.031492854685377214e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,1.276261773512041620e+00,1.281739888923311588e+00
3.450293564263328117e-01,4.292536561430356223e-01,0.000000000000000000e+00,-1.359966045706837712e-01,1.276261773512041620e+00,1.281739888923311588e+00
4.971005155715176316e-01,3.756162607503989448e-01,0.000000000000000000e+00,-2.236163075154777580e-01,-1.183201019193455217e+00,-7.801894976054941644e-01
-1.811244164878354768e-02,7.488868027545698691e-01,0.000000000000000000e+00,-1.288439757588672741e-01,-1.183201019193455217e+00,-7.801894976054941644e-01
-2.343503188014846916e+00,-1.715575264770667907e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,-6.913084606523557385e-01,-7.801894976054941644e-01
-2.830201058822965909e-01,9.924939431079807806e-01,1.973508764131860493e+00,2.913729669355568097e-01,-6.913084606523557385e-01,-7.801894976054941644e-01
-8.338061616065967074e-02,7.456475994804135921e-01,0.000000000000000000e+00,-2.718965519952642462e-01,-1.994159021112564267e-01,-7.801894976054941644e-01
3.927451857022468129e-01,6.651438710491929251e-01,-9.867543820659302467e-01,-4.668056871173574818e-01,2.924766564298429405e-01,-7.801894976054941644e-01
2.495717859408160683e-02,7.063008067678766544e-01,0.000000000000000000e+00,-1.324202901647739961e-01,7.843692149709422523e-01,1.281739888923311588e+00
-1.952631634440899377e+00,-2.039209780132630101e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,1.276261773512041620e+00,1.281739888923311588e+00
-2.092386652181018381e+00,-1.921836296786755272e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,1.276261773512041620e+00,1.281739888923311588e+00
1.906719674394890818e-01,3.090220522611404896e-01,0.000000000000000000e+00,-1.288439757588642487e-01,1.276261773512041620e+00,1.281739888923311588e+00
2.289799708831048441e+00,-1.985572384739993979e+00,-9.867543820659302467e-01,-4.668056871173574818e-01,-1.675093577734554584e+00,-7.801894976054941644e-01
1.835920298653195004e-01,3.635168838145829140e-01,0.000000000000000000e+00,-2.540149799657138718e-01,-1.675093577734554584e+00,-7.801894976054941644e-01
3.104409114025250549e-01,4.048643609023340750e-01,-9.867543820659302467e-01,-4.668056871173574818e-01,-1.183201019193455217e+00,-7.801894976054941644e-01
2.245966683157184784e-01,4.169637378381507720e-01,9.867543820659302467e-01,4.639543013072371103e-02,-6.913084606523557385e-01,-7.801894976054941644e-01
4.887668390519221417e-01,3.698047489938253718e-01,0.000000000000000000e+00,-1.020216177145394226e-01,2.924766564298429405e-01,-7.801894976054941644e-01
4.827193923739855896e-01,1.936492532904796338e-01,0.000000000000000000e+00,-3.005070672425423917e-01,7.843692149709422523e-01,1.281739888923311588e+00
1.317462370044732711e-01,2.802503055318758540e-01,0.000000000000000000e+00,-1.592426482090988082e-01,7.843692149709422523e-01,1.281739888923311588e+00
2.686250301050857603e-01,3.575148306889411876e-01,0.000000000000000000e+00,-4.122427281407330807e-02,-1.183201019193455217e+00,-7.801894976054941644e-01
2.609550977330686861e-01,4.785086000471075462e-01,0.000000000000000000e+00,-1.574544910061454472e-01,-6.913084606523557385e-01,-7.801894976054941644e-01
2.223104384740595407e-01,2.048911940654902508e-01,0.000000000000000000e+00,-2.575912943716251458e-01,-1.994159021112564267e-01,-7.801894976054941644e-01
